,date,Postcode,geography code,Rural Urban,Variable: All usual residents; measures: Value,Variable: Males; measures: Value,Variable: Females; measures: Value,Variable: Lives in a household; measures: Value,Variable: Lives in a communal establishment; measures: Value,Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value,Variable: Area (Hectares); measures: Value,Variable: Density (number of persons per hectare); measures: Value,Longitude,Latitude,Population
130,2011,BH17 8,BH17 8,Total,7525,3663,3862,7466,59,48,196.88,38.2,-1.95822,50.746,7649.0
131,2011,BH17 9,BH17 9,Total,6554,3188,3366,6554,0,101,314.76,20.8,-1.96729,50.7512,6281.0
132,2011,BH18 8,BH18 8,Total,4652,2180,2472,4555,97,106,354.43,13.1,-1.98707,50.757,4931.0
133,2011,BH18 9,BH18 9,Total,6476,3149,3327,6476,0,140,304.44,21.3,-1.99974,50.7589,6930.0
134,2011,BH19 1,BH19 1,Total,4077,1941,2136,3931,146,49,606.48,6.7,-1.96249,50.6142,4183.0
135,2011,BH19 2,BH19 2,Total,5524,2680,2844,5487,37,106,514.91,10.7,-1.9643,50.6067,5357.0
136,2011,BH19 3,BH19 3,Total,1916,950,966,1872,44,45,4055.76,0.5,-1.99762,50.6165,1776.0
137,2011,BH20 4,BH20 4,Total,5496,2563,2933,5461,35,80,635.37,8.7,-2.11319,50.6903,5459.0
138,2011,BH20 5,BH20 5,Total,3940,1971,1969,3903,37,82,12733.44,0.3,-2.12183,50.6454,4152.0
139,2011,BH20 6,BH20 6,Total,5953,3081,2872,5656,297,90,4190.42,1.4,-2.21522,50.6882,5905.0
140,2011,BH20 7,BH20 7,Total,4565,2277,2288,4557,8,67,8277.62,0.6,-2.15446,50.7286,4618.0
141,2011,BH21 1,BH21 1,Total,10432,4891,5541,10276,156,167,677.14,15.4,-1.98191,50.7961,10056.0
142,2011,BH21 2,BH21 2,Total,9008,4353,4655,8964,44,163,825.46,10.9,-1.95956,50.8032,9165.0
143,2011,BH21 3,BH21 3,Total,10677,5247,5430,10277,400,176,2177.37,4.9,-2.01059,50.7751,10937.0
144,2011,BH21 4,BH21 4,Total,2220,1117,1103,2220,0,49,2954.47,0.8,-2.02325,50.8092,2678.0
145,2011,BH21 5,BH21 5,Total,2407,1188,1219,2355,52,69,9390.32,0.3,-1.97846,50.8899,2413.0
146,2011,BH21 6,BH21 6,Total,1492,692,800,1428,64,19,424.96,3.5,-1.88379,50.8663,1697.0
147,2011,BH21 7,BH21 7,Total,3813,1846,1967,3777,36,85,5203.38,0.7,-1.93869,50.8215,3178.0
148,2011,BH21 8,BH21 8,Total,522,272,250,522,0,6,1048.8,0.5,-1.92554,50.8786,524.0
149,2011,BH22 0,BH22 0,Total,7561,3563,3998,7414,147,52,853.75,8.9,-1.88233,50.8219,7505.0
150,2011,BH22 8,BH22 8,Total,10856,5262,5594,10746,110,131,962.63,11.3,-1.88507,50.7951,10570.0
151,2011,BH22 9,BH22 9,Total,8374,3894,4480,8223,151,80,586.0,14.3,-1.89593,50.806,8716.0
152,2011,BH23 1,BH23 1,Total,5592,2659,2933,5556,36,60,220.9,25.3,-1.7783,50.7349,5462.0
153,2011,BH23 2,BH23 2,Total,12055,5870,6185,11909,146,113,633.85,19.0,-1.7938,50.7454,11991.0
154,2011,BH23 3,BH23 3,Total,8891,4320,4571,8860,31,61,296.81,30.0,-1.75506,50.7361,9210.0
155,2011,BH23 4,BH23 4,Total,9687,4562,5125,9568,119,95,482.13,20.1,-1.73376,50.7395,9398.0
156,2011,BH23 5,BH23 5,Total,6849,3180,3669,6773,76,76,300.9,22.8,-1.70603,50.7439,6955.0
157,2011,BH23 6,BH23 6,Total,501,270,231,478,23,3,2235.47,0.2,-1.82371,50.7727,553.0
